tournament_id,year,name,level,surface,participation_perc,strength,avg_elo
515,2015,Quito,ATP 250,Clay,11.0,898,1809
516,2015,Sao Paulo,ATP 250,Clay,18.2,1119,1885
517,2015,Shenzhen,ATP 250,Hard,19.4,1146,1894
518,2015,St. Petersburg,ATP 250,Hard,23.8,1270,1937
519,2015,Stockholm,ATP 250,Hard,27.9,1340,1961
520,2015,Stuttgart,ATP 250,Grass,29.3,1370,1972
521,2015,Umag,ATP 250,Clay,18.5,1137,1892
522,2015,Valencia,ATP 250,Hard,28.1,1302,1948
523,2015,Winston-Salem,ATP 250,Hard,27.9,1570,1942
524,2015,Zagreb,ATP 250,Hard,12.5,1083,1873
